Legacy Module,Legacy Field
Accounts,Account Image
Accounts,Account Name
Accounts,Account Owner
Accounts,Account Type
Accounts,Add Third Guardian
Accounts,AoPS Username
Accounts,Applicant Status
Accounts,Applicant_Id
Accounts,Billing City
Accounts,Billing Code
Accounts,Billing State
Accounts,Billing Street
Accounts,Child In Programs
Accounts,CogAT Standard Nonverbal
Accounts,CoGAT Standard Quant
Accounts,Cohort Entry Year
Accounts,Cohort Region
Accounts,Cohort Status
Accounts,Created By
Accounts,Created From Form
Accounts,Current Child Grade
Accounts,Date of Withdrawal
Accounts,Description
Accounts,Designated Metro Area
Accounts,Emergency Email
Accounts,Emergency First Name
Accounts,Emergency Last Name
Accounts,Emergency Phone
Accounts,Emergency Relationship to Star
Accounts,Family Benefits
Accounts,Family Income
Accounts,Guardians
Accounts,Highest Level of Education
Accounts,Media Release
Accounts,Mentor Name
Accounts,Modified By
Accounts,Most Recent Advisor Meeting
Accounts,Name of Current School
Accounts,Number of People in Household
Accounts,Occupations
Accounts,Other  Family Information
Accounts,Ownership
Accounts,Parent Account
Accounts,Primary Guardian City
Accounts,Primary Guardian Country
Accounts,Primary Guardian Email
Accounts,Primary Guardian First Name
Accounts,Primary Guardian is Only Legal Guardian
Accounts,Primary Guardian Last Name
Accounts,Primary Guardian Listed in Directory
Accounts,Primary Guardian Other Language
Accounts,Primary Guardian Phone
Accounts,Primary Guardian Preferred Language
Accounts,Primary Guardian Relationship to Star
Accounts,Primary Guardian Send Emails
Accounts,Primary Guardian Send Texts
Accounts,Primary Guardian State
Accounts,Primary Guardian Street
Accounts,Primary Guardian Zip
Accounts,School NCES ID
Accounts,Schools
Accounts,Second Guardian Other Language
Accounts,Secondary Guardian City
Accounts,Secondary Guardian Country
Accounts,Secondary Guardian First Name
Accounts,Secondary Guardian Last Name
Accounts,Secondary Guardian Listed in Directory
Accounts,Secondary Guardian Phone
Accounts,Secondary Guardian Preferred Language
Accounts,Secondary Guardian Relationship to Star
Accounts,Secondary Guardian Send Emails
Accounts,Secondary Guardian Send Texts
Accounts,Secondary Guardian State
Accounts,Secondary Guardian Street
Accounts,Secondary Guardian Zip
Accounts,Show Admin
Accounts,Star Date of Birth
Accounts,Star Dietary Restrictions
Accounts,Star Email
Accounts,Star First Name
Accounts,Star Identity
Accounts,Star Last Name
Accounts,Star Middle Name
Accounts,Star Phone
Accounts,Star Race or Ethnicity
Accounts,Star T-Shirt Size
Accounts,Student ID
Accounts,Third Guardian City
Accounts,Third Guardian Country
Accounts,Third Guardian Email
Accounts,Third Guardian First Name
Accounts,Third Guardian Last Name
Accounts,Third Guardian Listed in Directory
Accounts,Third Guardian Other Language
Accounts,Third Guardian Phone
Accounts,Third Guardian Preferred Language
Accounts,Third Guardian Relationship to Star
Accounts,Third Guardian Send Emails
Accounts,Third Guardian Send Texts
Accounts,Third Guardian State
Accounts,Third Guardian Street
Accounts,Third Guardian Zip
Accounts,Website
Contacts,Account Name
Contacts,Advisor Meetings
Contacts,Applicant Source
