User-Facing Module Name,Technical Module Name,User-Facing Field Name,Technical Field Name,Data Source / Type,Primary Linkage (if applicable),Change Type,Notes / UI Consideration,helper
Households,households,Household Record ID (Zoho ID),household_id (represents Zoho PK),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this Household record.,HouseholdsHousehold Record ID (Zoho ID)
Households,households,Household Name,name,Stored (Text),,New addition,Primary display name for the household.,HouseholdsHousehold Name
Households,households,Income,income,Stored (Picklist),,Data exists,Same values from Applicants module (Income Band).,HouseholdsIncome
Households,households,Family Size,family_size,Stored (Number),,Data exists,,HouseholdsFamily Size
Households,households,Metro Area,metro_area,Stored (Picklist),,Data exists,Use standard US Metropolitan Statistical Area (MSA) list.,HouseholdsMetro Area
Households,households,Family Benefits,family_benefits,Stored (Multi-Select Picklist),,Data exists,SNAP; WIC; TANF; Free or Reduced-Price School Lunch; Medicaid; CHIP; Housing Assistance,HouseholdsFamily Benefits
Households,households,Highest Level of Education,education_level,Stored (Picklist),,Data exists,Same values from Applicants module (Parent Education Level).,HouseholdsHighest Level of Education
Households,households,Media Release,media_release,Stored (Boolean),,Data exists,,HouseholdsMedia Release
Households,households,Special Circumstances,special_circumstances,Stored (Multi-Select Picklist),,Data exists,Same values from Applicant module (Family Circumstances). ,HouseholdsSpecial Circumstances
Households,households,Last Advisor Meeting,last_advisor_meeting,Formula (Pull from Advisor Meetings Module),,Non-stored data,,HouseholdsLast Advisor Meeting
Households,households,Related Stars,(N/A),Related List (Visual),Shows Stars records linked via stars.household_id (Zoho ID),Non-stored data,Section on layout.,HouseholdsRelated Stars
Households,households,Related Guardians (All),(N/A),Related List (Visual) / Custom View,Shows Contact (Guardians) linked via Stars in this Household,Non-stored data,Section on layout; may need custom functions to show unique guardians across all Stars.,HouseholdsRelated Guardians (All)
Households,households,Country,country,Stored (Picklist),,New addition,Standard countries list.,HouseholdsCountry
Households,households,State,state,Stored (Picklist),,Data exists,Standard US States and Territories list.,HouseholdsState
Households,households,City,city,Stored (Text),,Data exists,,HouseholdsCity
Households,households,Street,street,Stored (Text),,Data exists,,HouseholdsStreet
Households,households,Zip Code,zip,Stored (Text),,Data exists,,HouseholdsZip Code
Households,households,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,Auto-populated by Zoho.,HouseholdsCreated By
Households,households,Created Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,Auto-populated by Zoho.,HouseholdsCreated Time
Households,households,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,Auto-populated by Zoho.,HouseholdsModified By
Households,households,Modified Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,Auto-populated by Zoho.,HouseholdsModified Time
Stars,stars,Star Record ID (Zoho ID),star_id (represents Zoho PK),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this Star record.,StarsStar Record ID (Zoho ID)
Stars,stars,Star Photo,star_photo,Stored (Image),,Data exists,,StarsStar Photo
Stars,stars,NMS Star ID,nms_star_id,Stored (Text/Number),,Data exists,Business-defined unique ID for Stars. Should be searchable. Ensure uniqueness via validation.,StarsNMS Star ID
Stars,stars,First Name,first_name,Stored (Text),,Data exists,Mandatory.,StarsFirst Name
Stars,stars,Last Name,last_name,Stored (Text),,Data exists,Mandatory.,StarsLast Name
Stars,stars,Middle Name,middle_name,Stored (Text),,Data exists,,StarsMiddle Name
Stars,stars,Full Name,(N/A - Formula),Formula (Concatenation),,Non-stored data,Formula: ${Stars.First Name} ${Stars.Last Name}. For display.,StarsFull Name
Stars,stars,Date of Birth (DOB),dob,Stored (Date),,Data exists,,StarsDate of Birth (DOB)
Stars,stars,Age,(N/A - Formula),Formula (Calculate from DOB),,Non-stored data,For display and reporting.,StarsAge
Stars,stars,Cohort Year,cohort_year,Stored (Text/Number),,Data exists,,StarsCohort Year
Stars,stars,Cohort Region,cohort_region,Stored (Picklist),,Data exists,Same values from Applicants module (Region).,StarsCohort Region
Stars,stars,Email,email,Stored (Email),,Data exists,,StarsEmail
Stars,stars,Phone,phone,Stored (Phone),,Data exists,,StarsPhone
Stars,stars,Status,status,Stored (Picklist),,Data exists,Active; Withdrawn,StarsStatus
Stars,stars,Program End Date,program_end_date,Stored (Date),,Data exists,"Use with Status=""Withdrawn""",StarsProgram End Date
Stars,stars,Household,household_id,Stored (Lookup to Households),To Households via household_id (Zoho ID),New addition,"Mandatory. Displays Household Name, searchable by Name. Stores Zoho Record ID of the Household.",StarsHousehold
Stars,stars,Household Region,(N/A - Formula),Formula (from Household),,Non-stored data,Formula: ${Stars.Household.Region}. Display Star's effective region.,StarsHousehold Region
Stars,stars,Current District,(N/A - Formula),Formula (from Schools),,Non-stored data,,StarsCurrent District
Stars,stars,Current School,school_id,Stored (Lookup to Schools) / Formula (from Star-School),To Schools via school_id (Zoho ID),Data exists,Populated by workflow from active Star-School record. Displays School Name. Stores Zoho Record ID.,StarsCurrent School
Stars,stars,Current Grade,grade,Stored (Number),,Data exists,Updated via annual deluge script with manual override capabilities.,StarsCurrent Grade
Stars,stars,Program Affiliations,program_affiliations,Stored (Multi-Select Picklist),,New addition,Align on list with Programs Team,StarsProgram Affiliations
Stars,stars,Dietary Restrictions,dietary_restrictions,Stored (Text),,Data exists,,StarsDietary Restrictions
Stars,stars,Gender Identity,gender_identity,Stored (Picklist),,Data exists,Samve values from Applicants module (Gender).,StarsGender Identity
