Legacy Module,Legacy Field,Target Module,Target Field,Notes,helper legacy,helper target,in legacy,in target
Accounts,Account Image,Stars,Star Photo,,AccountsAccount Image,StarsStar Photo,TRUE,TRUE
Accounts,Account Name,Stars,Full Name,,AccountsAccount Name,StarsFull Name,TRUE,TRUE
Accounts,Account Owner,Stars,Owner,,AccountsAccount Owner,StarsOwner,TRUE,TRUE
Accounts,Account Type,Remove,Remove,Role defined by new modules like Stars and Mentors,AccountsAccount Type,RemoveRemove,TRUE,FALSE
Accounts,Add Third Guardian,Remove,Remove,Outdated process artifact,AccountsAdd Third Guardian,RemoveRemove,TRUE,FALSE
Accounts,AoPS Username,Remove,Remove,,AccountsAoPS Username,RemoveRemove,TRUE,FALSE
Accounts,Applicant Status,Remove,Remove,Information belongs in Applicant module,AccountsApplicant Status,RemoveRemove,TRUE,FALSE
Accounts,Applicant_Id,Remove,Remove,Information is the same as NMS Star ID,AccountsApplicant_Id,RemoveRemove,TRUE,FALSE
Accounts,Billing City,Households,City,,AccountsBilling City,HouseholdsCity,TRUE,TRUE
Accounts,Billing Code,Households,Zip Code,,AccountsBilling Code,HouseholdsZip Code,TRUE,TRUE
Accounts,Billing State,Households,State,,AccountsBilling State,HouseholdsState,TRUE,TRUE
Accounts,Billing Street,Households,Street,,AccountsBilling Street,HouseholdsStreet,TRUE,TRUE
Accounts,Child In Programs,Remove,Remove,Outdated process artifact,AccountsChild In Programs,RemoveRemove,TRUE,FALSE
Accounts,CogAT Standard Nonverbal,Test Scores,Score Value,,AccountsCogAT Standard Nonverbal,Test ScoresScore Value,TRUE,TRUE
Accounts,CoGAT Standard Quant,Test Scores,Score Value,,AccountsCoGAT Standard Quant,Test ScoresScore Value,TRUE,TRUE
Accounts,Cohort Entry Year,Stars,Cohort Year,,AccountsCohort Entry Year,StarsCohort Year,TRUE,TRUE
Accounts,Cohort Region,Stars,Cohort Region,,AccountsCohort Region,StarsCohort Region,TRUE,TRUE
Accounts,Cohort Status,Stars,Status,,AccountsCohort Status,StarsStatus,TRUE,TRUE
Accounts,Created By,Stars,Created By,,AccountsCreated By,StarsCreated By,TRUE,TRUE
Accounts,Created From Form,Remove,Remove,Outdated process artifact,AccountsCreated From Form,RemoveRemove,TRUE,FALSE
Accounts,Current Child Grade,Stars,Current Grade,,AccountsCurrent Child Grade,StarsCurrent Grade,TRUE,TRUE
