Record Id,District / School Name,District / School Owner.id,District / School Owner,Email,Secondary Email,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Last Activity Time,Email Opt Out,Tag,Unsubscribed Mode,Unsubscribed Time,Type,Locked,District.id,District,Show Admin Section,Regional Service Center,School Type,Setting,School Size,School Grades,District Type,District Size,NCES School ID,Street,City,Zip Code,State,School Website,District Website,NCES School Link,NCES District ID,NCES District Link
zcrm_6229020000001673149,GreeleySchool District No. 6 in the county of Weld and Sta,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-13 13:18:49,2024-08-13 22:56:25,2024-08-13 22:56:25,false,,,,District,false,,,false,,,Urban,,,Traditional Public,"10,000 to 24,999",,1025 9th Avenue,Greeley,80631,Colorado,,,,804410,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&details=1&State=08&DistrictType=1&DistrictType=2&DistrictType=3&DistrictType=4&DistrictType=5&DistrictType=6&DistrictType=7&DistrictType=8&DistrictType=9&NumOfStudentsRange=more&NumOfSchoolsRange=more&DistrictPageNum=8&ID2=0804410
zcrm_6229020000001674004,Tointon Academy of Pre-Engineering,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-13 13:26:15,2024-08-13 22:57:36,2024-08-13 22:57:36,false,,,,School,false,zcrm_6229020000001673149,GreeleySchool District No. 6 in the county of Weld and Sta,false,,Traditional Public,Urban,Medium (600-899),Combined Elementary/Middle,,,80441006,717 71ST AVE,Greeley,80634,Colorado,https://tointon.greeleyschools.org/,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=tointon&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=080441006859,,
zcrm_6229020000002084127,San Antonio ISD,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-27 09:19:51,2024-08-27 09:19:51,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000002090099,Kipp Texas Public Schools,zcrm_6229020000002062001,Bilqis Taiwo,,,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,2024-08-27 09:29:48,2024-08-27 09:29:48,,false,,,,District,false,,,false,,Public Charter,Urban,Small (300-599),Middle,Public Charter,,480026411,500 TIDWELL DR,HOUSTON,77022,Texas,http://www.kipptexas.org,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=kipp&City=houston&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=480026411229,4800264,
zcrm_6229020000002199058,Northside Isd,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-08-27 09:25:00,2024-08-27 09:25:00,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000002199068,KALLISON EL,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-08-27 09:27:59,2024-08-27 09:27:59,,false,,,,School,false,zcrm_6229020000002199058,Northside Isd,false,,Traditional Public,Rural,"Large (900-1,999)",Elementary,Traditional Public,"25,000 or more",483312013,8610 RANCH VIEW E,SAN ANTONIO,78254,Texas,https://www.nisd.net/kallison,http://www.nisd.net,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=kallison+elementary&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=483312013247,4833120,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=2&details=1&ID2=4833120&DistrictID=4833120
zcrm_6229020000002220001,DE ZAVALA EL,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-27 09:20:58,2024-08-27 09:20:58,,false,,,,School,false,zcrm_6229020000002084127,San Antonio ISD,false,20,Traditional Public,Urban,Small (300-599),Elementary,,,483873004,2311 SAN LUIS ST,SAN ANTONIO,78207,Texas,https://schools.saisd.net/page/121.homepage,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=de+zavala+elementary&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=483873004342,,
zcrm_6229020000002858031,Houston Isd,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-09-04 09:28:31,2024-09-04 09:28:31,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000002858041,MANDARIN IMMERSION MAGNET SCHOOL,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-09-04 09:28:59,2024-09-04 09:28:59,,false,,,,School,false,zcrm_6229020000002858031,Houston Isd,false,4,Traditional Public,Urban,Medium (600-899),Combined Elementary/Middle,,,482364012,5445 W ALABAMA,Houston,77056,Texas,https://www.houstonisd.org/mandarinimmersion,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=4823640&SchoolPageNum=11&ID=482364012659,,
zcrm_6229020000002858060,Los Angeles Unified,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-09-04 09:35:48,2024-09-04 09:35:48,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000002858070,John Adams Middle,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-09-04 09:36:49,2024-09-04 09:36:49,,false,,,,School,false,zcrm_6229020000002858060,Los Angeles Unified,false,,Traditional Public,Urban,Medium (600-899),Middle,,,62271002,151 West 30th St.,Los Angeles,90007,California,https://www.jamsla.org/apps/pages/index.jsp?uREC_ID=2057110&type=d&pREC_ID=2122134,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=0622710&ID=062271002800,,
zcrm_6229020000003240001,Ocean Grove Charter District,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-09-06 14:23:44,2024-09-06 14:25:27,2024-09-06 14:25:27,false,,,,District,false,,,false,,,,,,Public Charter,"2,500 to 4,999",,4535 Missouri Flat RD. STE. 1a,Placerville,95667,California,,,,601472,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=2&details=1&ID2=0601472&DistrictID=0601472
zcrm_6229020000003240011,Ocean Grove Charter,zcrm_6229020000000460001,Ambika Dani,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-09-06 14:24:28,2024-09-06 14:24:28,,false,,,,School,false,zcrm_6229020000003240001,Ocean Grove Charter District,false,,Public Charter,Urban,"Very Large (2,000+)",All Grades,,,60147211,4535 Missouri Flat Rd. Ste. 1A,Placerville,95667,California,https://ogcs.org/,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=0601472&ID=060147211464,,
