Record Id,Partner Name,Phone,Email,Website,GL Account,Partner Owner.id,Partner Owner,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Street,City,Zip Code,Country,Description,Tag,Locked,Email Opt Out,Unsubscribed Mode,Unsubscribed Time,Show Admin,Partner Type,State_,Last Activity Time
zcrm_6229020000001660093,Art of Problem Solving,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-13 23:01:21,2024-08-13 23:01:21,,,,,,,false,false,,,false,,,
zcrm_6229020000001771010,Math in the Mountains,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-13 23:14:31,2024-08-13 23:14:31,,,,,,,false,false,,,false,,,
zcrm_6229020000001780047,ACT,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-14 00:37:45,2024-08-14 00:37:45,,,,,,,false,false,,,false,,,
zcrm_6229020000001780135,Global Math Circle,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-14 00:50:18,2024-08-14 00:50:18,,,,,,,false,false,,,false,,,
zcrm_6229020000001785023,Harold Reiter,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-14 01:16:37,2024-08-14 01:16:37,,,,,,,false,false,,,false,,,
zcrm_6229020000001786033,Crunch Labs,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-14 01:22:44,2024-08-14 01:22:44,,,,,,,false,false,,,false,,,
zcrm_6229020000002030005,Northwestern Center for Talent Development,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-22 14:46:34,2024-08-22 14:46:34,,,,,,,false,false,,,false,,,
zcrm_6229020000002085054,GeodeMath,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-26 08:53:33,2024-08-26 08:53:33,,,,,,,false,false,,,false,,,
zcrm_6229020000002091001,Russian School of Math (RSM),,,,Sales-Software,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-26 10:37:22,2024-08-26 10:37:22,,,,,,,false,false,,,false,For-Profit,,
zcrm_6229020000002091032,Math Kangaroo,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-26 10:41:22,2024-08-26 10:41:22,,,,,,,false,false,,,false,,,
zcrm_6229020000002091070,Townsquare Chess,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-26 10:46:47,2024-08-26 10:46:47,,,,,,,false,false,,,false,,,
zcrm_6229020000002091098,Mathematical Association of America (MAA),,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-26 10:49:08,2024-08-26 10:49:08,,,,,,,false,false,,,false,,,
zcrm_6229020000002091116,Generation Genius,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-26 10:50:17,2024-08-26 10:50:17,,,,,,,false,false,,,false,,,
zcrm_6229020000002091151,AlphaStar Academy,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-26 10:53:30,2024-08-26 10:53:30,,,,,,,false,false,,,false,,,
zcrm_6229020000002250011,FIRST Lego League,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-08-28 12:40:20,2024-08-28 12:40:20,,,,,,,false,false,,,false,,,
zcrm_6229020000003241247,John Hopkins Center for Talented Youth (CTY),,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-09-06 15:27:10,2024-09-06 15:27:10,,,,,,,false,false,,,false,,,
zcrm_6229020000003241348,Math Circles of Houston,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-09-06 15:44:53,2024-09-06 15:44:53,,,,,,,false,false,,,false,,,
